Gene,both_M1M2
APOL4,-0.0289890928849311
APOL6,-0.0204975441365057
APOLD1,0.00496197655641707
APOM,0
APOO,-0.0105019647575836
APOOL,0.00398327729377143
APP,0.00202634532614876
APPBP2,-0.00243750658743564
APPL1,0.00366537859308237
APPL2,0.0128880363499573
APRT,0.00817712026756106
APTR,-0.0041944485790684
APTX,0
AQP1,0.00846953208074505
AQP11,-0.00320566883174629
AQP12B,0.00400497120103764
AQP2,0.00609546115766302
AQP3,0.00993006730389991
AQP5,0.0188763839007178
AQP6,0.0180548297311031
AQP8,0
AQP9,0.000173764976033842
AQR,0.00327276989096817
AR,1.47831789576367E-05
ARAF,0.00124652509049884
ARAP1,0.000644964074216432
ARAP2,-0.00556317876216301
ARAP3,0.00364996160953407
ARC,0.0116401472160068
ARCN1,0.00100909743119336
AREG,0
AREL1,0.000788775904749813
ARF1,0
ARF3,-0.00232202216816131
ARF4,0.00181134195117672
ARF5,0.00210312987518407
ARF6,-0.00220143043991314
ARFGAP1,0.00141662737410708
ARFGAP2,-0.000859028074102291
ARFGAP3,-0.00157929447616415
ARFGEF1,0.00148240770185902
ARFGEF2,0.00397650038947009
ARFIP1,0.000461366714502792
ARFIP2,0
ARFRP1,-0.0025260492104302
ARG2,0.00524238482515195
ARGLU1,0
ARHGAP1,0.00346797199321832
ARHGAP10,0.00118781263463595
ARHGAP11A,0.00675606902312047
ARHGAP11B,-0.00204700128143508
ARHGAP12,-0.00357842371297106
ARHGAP15,-0.00308569846095628
ARHGAP17,0.00110763237581517
ARHGAP18,0.012092197282035
ARHGAP19,0.00165284241935063
ARHGAP20,-0.0107423556726519
ARHGAP21,0.00157089864634706
ARHGAP22,-0.00279302759981842
ARHGAP23,-0.00766744902744533
ARHGAP24,-0.00920960084058647
ARHGAP25,-0.000958104469557637
ARHGAP26,0.0195839223474355
ARHGAP27,-0.00424983787220566
ARHGAP29,-0.00632179824492347
ARHGAP30,-0.00183790891275472
ARHGAP31,0
ARHGAP32,-0.00458737702672224
ARHGAP33,0.00383755650033474
ARHGAP35,0.00291078454828212
ARHGAP39,0.0107142546093806
ARHGAP4,0.00982220325116662
ARHGAP40,-0.00709692328248194
ARHGAP42,-0.00432563293749912
ARHGAP44,0.00464379500522384
ARHGAP5,-0.0059445964211486
ARHGAP6,0.00864937569619481
ARHGAP8,0
ARHGAP9,0.00671868885539074
ARHGDIA,0.0032614585335993
ARHGDIB,0.0143864179851437
ARHGEF1,0.00110502289885761
ARHGEF10,0.00478042476291885
ARHGEF10L,-0.00307295844129106
ARHGEF11,-0.00662887571760656
ARHGEF16,0.000993393031076433
ARHGEF17,0.00477243063654695
ARHGEF18,0.000724028734376184
ARHGEF19,-0.00640387479968134
ARHGEF2,-0.00359580517434451
ARHGEF25,-0.00326091549099839
ARHGEF26,-0.00328603331328835
ARHGEF28,0.00655141483060657
ARHGEF3,-0.00604799556985461
ARHGEF33,0.00434605622521648
ARHGEF34P,-0.0059776754975031
ARHGEF35,-0.0186627882089081
ARHGEF37,0.0060303292174933
ARHGEF38,-0.0111049318257562
ARHGEF39,0.00538492522082015
ARHGEF4,-0.00636386973438351
ARHGEF40,0.00293019973608227
ARHGEF5,-0.00985534544755879
ARHGEF6,-0.00224480512288719
ARHGEF7,0
ARHGEF9,0.00873975001595102
ARID1A,-0.00145133925687135
ARID1B,-0.00520751138320992
