Threshold,Strategy,Net_Benefit,TP,FP,TN,FN,PPV,NNT,Unnecessary_Treatments_Avoided
0.37,High TMB,0.08017908017908015,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.38,Treat None,0.0,0,0,113,82,,,113
0.38,Treat All,0.06534325889164594,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.38,Phenotype-Stratified (Q5),0.3205955334987593,76,22,91,6,0.7755102040816326,1.2894736842105263,91
0.38,Global Predictor (Q1),0.3933829611248966,81,7,106,1,0.9204545454545454,1.0864197530864197,106
0.38,CD274 (PD-L1+),0.0777502067824648,74,96,17,8,0.43529411764705883,2.2972972972972974,17
0.38,High TMB,0.06534325889164594,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.39,Treat None,0.0,0,0,113,82,,,113
0.39,Treat All,0.05002101723413194,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.39,Phenotype-Stratified (Q5),0.3255989911727617,75,18,95,7,0.8064516129032258,1.24,95
0.39,Global Predictor (Q1),0.39571248423707445,81,6,107,1,0.9310344827586207,1.0740740740740742,107
0.39,CD274 (PD-L1+),0.06246321984026898,71,92,21,11,0.43558282208588955,2.295774647887324,21
0.39,High TMB,0.05002101723413194,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.4,Treat None,0.0,0,0,113,82,,,113
0.4,Treat All,0.03418803418803412,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.4,Phenotype-Stratified (Q5),0.32136752136752134,74,17,96,8,0.8131868131868132,1.2297297297297298,96
0.4,Global Predictor (Q1),0.39658119658119656,80,4,109,2,0.9523809523809523,1.05,109
0.4,CD274 (PD-L1+),0.04957264957264956,69,89,24,13,0.43670886075949367,2.289855072463768,24
0.4,High TMB,0.03418803418803412,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.41000000000000003,Treat None,0.0,0,0,113,82,,,113
0.41000000000000003,Treat All,0.01781833985223813,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.41000000000000003,Phenotype-Stratified (Q5),0.32603215993046497,74,15,98,8,0.8314606741573034,1.2027027027027026,98
0.41000000000000003,Global Predictor (Q1),0.3960017383746197,80,4,109,2,0.9523809523809523,1.05,109
0.41000000000000003,CD274 (PD-L1+),0.027292481529769652,63,83,30,19,0.4315068493150685,2.317460317460317,30
0.41000000000000003,High TMB,0.01781833985223813,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.42000000000000004,Treat None,0.0,0,0,113,82,,,113
0.42000000000000004,Treat All,0.0008841732979663064,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.42000000000000004,Phenotype-Stratified (Q5),0.32236958443854996,73,14,99,9,0.8390804597701149,1.1917808219178083,99
0.42000000000000004,Global Predictor (Q1),0.3939876215738285,79,3,110,3,0.9634146341463414,1.0379746835443038,110
0.42000000000000004,CD274 (PD-L1+),0.03748894783377538,58,70,43,24,0.453125,2.206896551724138,43
0.42000000000000004,High TMB,0.0008841732979663064,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.43,Treat None,0.0,0,0,113,82,,,113
0.43,Treat All,-0.01664417453891137,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.43,Phenotype-Stratified (Q5),0.30868196131354025,70,13,100,12,0.8433734939759037,1.1857142857142857,100
0.43,Global Predictor (Q1),0.3922627080521818,78,2,111,4,0.975,1.0256410256410258,111
0.43,CD274 (PD-L1+),0.04237516869095817,49,54,59,33,0.47572815533980584,2.1020408163265305,59
0.43,High TMB,0.0,0,0,113,82,0.0,,113
0.44,Treat None,0.0,0,0,113,82,,,113
0.44,Treat All,-0.03479853479853484,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.44,Phenotype-Stratified (Q5),0.30952380952380953,69,11,102,13,0.8625,1.1594202898550725,102
0.44,Global Predictor (Q1),0.395970695970696,78,1,112,4,0.9873417721518988,1.0128205128205128,112
0.44,CD274 (PD-L1+),0.05238095238095239,33,29,84,49,0.532258064516129,1.878787878787879,84
0.44,High TMB,0.0,0,0,113,82,0.0,,113
0.45,Treat None,0.0,0,0,113,82,,,113
0.45,Treat All,-0.05361305361305363,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.45,Phenotype-Stratified (Q5),0.3067599067599067,68,10,103,14,0.8717948717948718,1.1470588235294117,103
0.45,Global Predictor (Q1),0.39580419580419585,78,1,112,4,0.9873417721518988,1.0128205128205128,112
